Player;MP;ORB;AST;STL;BLK;TOV;PTS;FG%;3P%;FT%
Shammond Williams;345;11;31;12;0;13;94;.407;.400;.667
Shawne Williams;751;25;30;19;30;21;202;.380;.326;.700
Trevor Wilson;126;12;12;5;1;6;51;.487;;.520
Dylan Windler;28;0;6;0;0;0;12;.444;.500;
Brian Winters;1516;39;195;74;18;;794;.443;;.826
Christian Wood;872;39;49;16;33;50;347;.466;.307;.702
Orlando Woolridge;2912;130;154;69;111;176;1503;.514;.000;.736
Metta World Peace;10015;395;699;453;139;400;3197;.394;.335;.685
James Worthy;30001;1561;2791;1041;624;1859;16320;.521;.241;.769
Wayne Yates;263;;16;;;;72;.295;;.455
Nick Young;5399;85;228;129;44;205;2890;.405;.377;.846
Sun Yue;28;0;2;1;1;3;6;.273;.000;
Ivica Zubac;1535;140;80;26;75;89;726;.541;.000;.771
