Player,Synthetic_Index
Don Sunderlage,0.6008601999845402
Bo Erias,0.5993882266134194
Armel Traoré,0.5990799639428075
Ollie Mack,0.5981291778480337
Bo Lamar,0.5973357695303849
Sedale Threatt,0.5963639608473942
Kermit Washington,0.5963366548313074
Christian Koloko,0.595256214706048
Marty Byrnes,0.5951437299034229
Channing Frye,0.5908672308960832
Jordan Hill,0.5889638581681685
Tyler Ennis,0.587887311452339
Mike Lynn,0.5872988542321125
Johnathan Williams,0.5856941635145905
Ronnie Price,0.5835875483126838
Travis Knight,0.5830708609877084
Jay Vincent,0.5824661667552432
Jim Brewer,0.5812956968646491
Johnny Neumann,0.5806414562155687
Robert Horry,0.5766533725570429
Anthony Miller,0.5760893598213295
Donnie Freeman,0.5749527538255801
Adrian Dantley,0.5747236392350527
Moritz Wagner,0.5704319683590446
Chris Mihm,0.569409028357609
Lou Williams,0.5693377135664182
Karl Malone,0.5672448211209434
Marv Roberts,0.5671522384755668
Dennis Schröder,0.5670897337159999
J.R. Smith,0.5668981049677941
Talen Horton-Tucker,0.5660847272969686
Brandon Bass,0.5646257649537736
Julius Randle,0.5641847798088242
Thomas Bryant,0.5611598053877908
Eddie Jones,0.5604308854612521
Bobby Watson,0.5602870699257854
Wenyen Gabriel,0.5598643277272168
Clay Johnson,0.5587817568140411
Laron Profit,0.5574372129541834
Lance Stephenson,0.5566016978441383
Rory Sparrow,0.5557692503111757
Orlando Woolridge,0.555489563945661
Matt Ryan,0.5552385080047446
Roy Hibbert,0.5546469119654674
Jaxson Hayes,0.554319155903169
Don Chaney,0.5527151589669583
Matt Barnes,0.5517640458745969
Hub Reed,0.5513385869754074
Larry Drew,0.5501886693845334
Tarik Black,0.5498700352974548
Greg Foster,0.5495834763934219
Tracy Murray,0.5482347377441026
Tony Smith,0.5461468378760561
Derek Harper,0.5440038345018883
Frank Brickowski,0.5435143049309643
Tony Campbell,0.5435075820955437
Alex Caruso,0.543288347896773
Christian Wood,0.543188687680582
Ron Harper,0.5424751122810662
Cedric Ceballos,0.5416358246135766
Jerome Kersey,0.5398611752133292
Sam Perkins,0.5394470728319727
George Lynch,0.53795521156621
John Celestand,0.537308443493292
Vander Blue,0.536614480195879
Chucky Brown,0.5351159790397098
Zelmo Beaty,0.5350385386412202
Lloyd Daniels,0.534610653785147
Bob Harrison,0.5329466098583177
Fred Hetzel,0.5312983067115223
Mike McGee,0.5290273127946616
Kevin McKenna,0.5276271472183938
Jordan Farmar,0.5275380385575039
Malik Monk,0.527347929906351
Jarred Vanderbilt,0.5260899628039939
Maurice Lucas,0.524135285337513
Walt Hazzard,0.524057452949049
Luke Walton,0.5216610470673472
Kenny Carr,0.5201715699615267
Butch Carter,0.5195291573427361
