Player,Synthetic_Index
Jerome Henderson,0.5555555555555556
Roger Brown,0.48970846068678364
George Brown,0.4041078371188868
Lester Conner,0.3514189062297387
Jim Fritsche,0.31647099447513816
Larry Krystkowiak,0.31494160645717517
Scott Machado,0.31221979264211613
Chuck Share,0.3106457515048294
Ron Sobie,0.30070162198909145
Jawann Oldham,0.2958242013745448
Myles Patrick,0.2833724500422337
Butch Lee,0.2831756728412619
Earnie Killum,0.276793022304072
Sekou Doumbouya,0.27256529713169875
George Mikan,0.267028553396219
Dylan Windler,0.2638615420614884
Luka Don?i?,0.2580358610062127
Steve Mix,0.25779546759828
Nigel Hayes,0.25706110631203855
Jerry Grote,0.25660008334978746
Walt Wesley,0.24761150416580802
Kendall Marshall,0.24547228545604804
Zach Norvell,0.24444444444444444
Russell Westbrook,0.23950536108768639
Tony Jackson,0.2387438008375057
Trey Johnson,0.2362704821268357
Ronnie Lester,0.23588926158994186
Quincy Olivari,0.23576386424407297
Tony Bobbitt,0.23492825532571332
Darius Johnson-Odom,0.23094692015027443
Rajon Rondo,0.23087583135690523
Davon Reed,0.23072552895452714
Billy McGill,0.23064365552496813
Tony Brown,0.2291243814101633
David Rivers,0.22727440676736171
Jim Cleamons,0.22501762280424548
Ron Feiereisel,0.22426554313402405
Steve Nash,0.2219332452108176
Ramon Sessions,0.22106877406024916
Brad Davis,0.21867513986454262
Duane Cooper,0.21697808607325383
Flynn Robinson,0.21644541086569305
Eddie Jordan,0.2162584544931145
Wes Matthews,0.21579449322531713
Bob Harrison,0.21530235125428776
D'Angelo Russell,0.21508987902760623
Ernie DiGregorio,0.21506266323007628
Walt Hazzard,0.2139877923037305
Jeremy Lin,0.21398263200323925
Demetrius Calip,0.21273660238844389
Marcelo Huertas,0.2120063041979371
Lucius Allen,0.2116515385962353
Sedale Threatt,0.2112848046070021
Lonzo Ball,0.21124179911537033
Elias Harris,0.20943728871567335
Dennis Schröder,0.20922362271696301
Coby Karl,0.20797786446662933
Charlie Scott,0.2075613255136462
Nick Mantis,0.20732813999145555
Mel Gibson,0.20722034489851987
Joe Hutton,0.20653340420502658
Christian Eyenga,0.20631767442011784
Joe Cooper,0.20617272676111675
Milt Wagner,0.2055752610532035
Jim Price,0.20516225891064915
Bo Lamar,0.20481083513706533
Brian Winters,0.20457782974748928
Earl Jones,0.20414462081128748
Larry Drew,0.20391121082639396
Michael Beasley,0.20387942714481677
Lou Williams,0.2038695318559713
Mason Jones,0.2021176057538262
D'Moi Hodge,0.20204635347424874
Johnny Neumann,0.20204426691481717
Sam Jacobson,0.20201549005984554
José Calderón,0.20128043858575612
Mac McClung,0.1993673089719915
John Tresvant,0.19886447024204093
Skylar Mays,0.1985568558829272
Hot Rod Hundley,0.19842504521674775
Dwight Buycks,0.19810235261872003
Reggie Jordan,0.19774749287378346
Slater Martin,0.19749681173669137
Tyler Ennis,0.19737468416905954
Dion Waiters,0.19705641671313717
Cliff Anderson,0.1967008429626258
Derek Harper,0.19670050652840326
Travis Grant,0.19659695837459873
Adrian Branch,0.19655037289366312
Rory Sparrow,0.19605160875004984
Connie Hawkins,0.19588902783691858
Archie Clark,0.19568762678082569
Donnie Freeman,0.19487478833612082
Lance Stephenson,0.19466771758183565
Cliff Robinson,0.19430972987928913
Earl Tatum,0.19416858394117165
MarShon Brooks,0.1938398003707561
Ronnie Price,0.19378229299769423
Frankie King,0.1936456555929612
Bronny James,0.19330245076793015
Jordan Farmar,0.19319031295264075
Corky Devlin,0.19302726116142518
Steve Bucknall,0.19293842296651295
Jon Barry,0.1921510876531364
Adrian Dantley,0.19188462513277457
Talen Horton-Tucker,0.1917737938440473
Jordan Clarkson,0.19171814512517993
Nate Hawthorne,0.19171326277626
Ray Tolbert,0.19147417583110576
Tierre Brown,0.19127057385183655
Shea Seals,0.19103855637820405
Malik Monk,0.19070760424413813
Mack Calvin,0.19040682695466765
Chris Kaman,0.1901954935466606
Karl Malone,0.19016837213726917
Irving Thomas,0.1899984122542003
Javaris Crittenton,0.18998422471832574
Ollie Mack,0.1892015656042491
Trevor Wilson,0.18896535880377613
Mike Higgins,0.1887300763897795
Chucky Atkins,0.18859253527697548
Cazzie Russell,0.18854944077036268
Bill Turner,0.18841773283097538
John Block,0.1883721078404756
Brook Lopez,0.18829159954228056
Doug Christie,0.18821934542815724
Dick Barnett,0.1879456055446608
Julius Randle,0.18779728912138965
Joe Crispin,0.18774187615491142
Brad Holland,0.1876132217559983
Cole Swider,0.1874599624499334
Johnny Egan,0.18720239478136008
Vern Mikkelsen,0.1866149638857267
Jim King,0.18630587731456494
Andre Ingram,0.18597962290302825
Steve Blake,0.185756041850408
Tony Smith,0.18571998040776272
Ron Williams,0.18564874174636167
Shake Milton,0.1854356565408628
Quinn Cook,0.18533114480745
John Wetzel,0.18525062927410904
Frank Selvy,0.1852349351006679
Chris Duhon,0.18500630260703665
Alex Caruso,0.18486147543473885
Luke Walton,0.1846029417214971
Bobby Smith,0.18456274285154
Colin Castleton,0.18413531743121053
Chuck Mencel,0.1838513797014443
Anthony Peeler,0.18353963852470698
Lou Hudson,0.18312427919711866
Eddie Jones,0.18308536466646733
Brandon Ingram,0.18242107158109255
Bob McAdoo,0.18223829654904755
Cedric Ceballos,0.18186202265587736
Dick Garmaker,0.181699516273255
Montrezl Harrell,0.18162909844524083
Terry Teagle,0.1812736677835441
John Pilch,0.1811090794267694
Mike McGee,0.18070581553348453
Keith Erickson,0.18059281570529997
Derrick Williams,0.1805486145815981
Mario Bennett,0.18032026953623526
Ron Harper,0.18026849323504301
Rick Fox,0.18021126028540757
Slick Leonard,0.17983990493163043
Cliff Meely,0.17972931720915825
Maurice Carter,0.17964879603584216
Ron Carter,0.17956374259415192
Freddie Crawford,0.17955278099750044
Willie McCarter,0.179412997356784
Mel Counts,0.17926623876182812
Stu Lantz,0.17911516333306865
Butch Carter,0.17898096479969194
Ron Boone,0.1789701249818489
Andre Drummond,0.1789426308261698
Glen Rice,0.17889346634739012
Don Chaney,0.17889122904975174
Smush Parker,0.17885644739802894
Kyle Kuzma,0.17878448688332121
Tony Campbell,0.1785792931681276
Ime Udoka,0.17851086782199282
Marc Gasol,0.178458468230125
Tyronn Lue,0.17842045479858124
Bobby Watson,0.17826694347451177
Fred Roberts,0.1782518629109277
Kendrick Nunn,0.1779282321236091
Isaac Bonga,0.17786140289408797
Darius Morris,0.1775432724358179
Clyde Lovellette,0.17745704965725062
Johnny Horan,0.17715151311997418
Stan Love,0.17703893295670864
Spencer Haywood,0.1767690263567897
Jeff Lamp,0.1766625773680446
Orlando Woolridge,0.176660977111883
Kent Bazemore,0.17611200835218643
Alex Fudge,0.17571823287577287
Jay Carty,0.1752301260547686
Chuck Nevitt,0.17511111051463418
Carlos Boozer,0.1749642389105836
John Fairchild,0.1748720326381879
Fred Hetzel,0.17473200768268188
Ivica Zubac,0.1744846074662249
Thomas Bryant,0.17439731920759555
Ed Fleming,0.1743376526017288
Sam Bowie,0.17424940958423213
Spencer Dinwiddie,0.17384125256831895
Ron Johnson,0.17373460419552111
Happy Hairston,0.1735646353031384
James Edwards,0.1735582915902424
Manny Harris,0.1735483892781822
Moritz Wagner,0.17336752702147565
Sun Yue,0.17336343187385517
Soumaila Samake,0.17324327494088854
Mitch Richmond,0.173119606411993
Mo Bamba,0.1730033810163915
Ronny Turiaf,0.17296131801171283
Joe Smith,0.17278136306619496
Matt Barnes,0.17264636688385251
Don Sunderlage,0.17262335628733244
Whitey Skoog,0.17249641363755974
Bob Boozer,0.17246662297611345
Dennis Hamilton,0.1724007354042541
Nick Young,0.1722397530725707
Jim McDaniels,0.17217278210857373
Alan Hardy,0.1721106439423875
D.J. Augustin,0.17191862499221156
Jabari Brown,0.1718224846746655
C.J. Kupec,0.17164193244577927
John Celestand,0.17130906806730672
Jerry Chambers,0.17124579450997499
Shannon Brown,0.17121245371703672
Channing Frye,0.17119103046459727
Xavier Henry,0.17114241265275218
Sam Perkins,0.17113633422565927
Jay Vincent,0.17105393554780446
Carmelo Anthony,0.1709881767518314
Rudy LaRusso,0.17097386864594089
Cotton Nash,0.1709121055089733
Dick Garrett,0.17070132729237947
JaVale McGee,0.17068734204261435
Marv Roberts,0.17068193495217154
Calvin Garrett,0.17050483569871888
Tom Abernethy,0.17048312591470993
Sasha Vuja?i?,0.17041928187004216
Shammond Williams,0.1703910619740277
Larry Foust,0.1703591273940821
Bo Erias,0.17025598280410226
Erwin Mueller,0.17018274488200258
Malik Beasley,0.17008059623353555
Elmore Smith,0.1700678186920755
Mike Penberthy,0.16999354011919174
John Trapp,0.16969294320536626
Jalen Hood-Schifino,0.1695093842233922
Jordan Hill,0.16936340609894884
Patrick Beverley,0.16932707374987188
Caron Butler,0.16921199934820433
Maurice Lucas,0.1691571628895371
Trevor Ariza,0.16893364142630146
Dick Schnittker,0.16886557154740936
John Salley,0.16885390223193544
Mike Muscala,0.16882778287832143
Dave Robisch,0.16881367200103076
Vladimir Radmanovi?,0.168754690041714
Christian Wood,0.16870261156896255
Alex Blackwell,0.16865407040816355
Pétur Guđmundsson,0.1686516687485452
Kentavious Caldwell-Pope,0.16848466401800136
John Roche,0.16817798700831696
Robert Horry,0.16813033742752065
Jordan Goodwin,0.16807408952162403
Lloyd Daniels,0.16805276551936318
Dalton Knecht,0.1680386793018347
Marty Byrnes,0.16796260804617932
Mike Lynn,0.16757108659402073
Kenny Carr,0.16742335360555594
Don Ford,0.16708312554782084
Corey Brewer,0.16699292067451763
Jelani McCoy,0.1669455530662842
Bryon Russell,0.16688395795064542
Jemerrio Jones,0.16686046535882287
Vander Blue,0.16683403036816702
Lindsey Hunter,0.16672997377813648
Rui Hachimura,0.16655051580231414
Devontae Cacok,0.16645597294232606
Anthony Miller,0.16642670817429603
Jim Paxson,0.166382724587846
Chucky Brown,0.1663373599461615
Bob Carney,0.16624466619727646
Laron Profit,0.1662435624774869
Bill Bridges,0.16616367454419378
Ed Davis,0.16615006900933124
Brian Cook,0.1660381904989257
McCoy Ingram,0.16601231071346104
Adam Morrison,0.16597584152517397
Jim Chones,0.16593324532363363
Mel McCants,0.16572502938077915
Ed Kalafat,0.16565546406525478
Metta World Peace,0.16563299634437545
Danny Schayes,0.1656325927123915
Brandon Bass,0.1654876803296118
Darrall Imhoff,0.16529282209043375
Ryan Kelly,0.16520444843925905
Tracy Murray,0.165119090473486
Clay Johnson,0.16507169395667487
Stanley Johnson,0.165058779108557
Markieff Morris,0.16487614318151572
Greg Foster,0.16478850846234167
George Lynch,0.1647748653438748
Andrew Goudelock,0.16477130912751847
George McCloud,0.16470431101237318
Bob Williams,0.16446554336153923
Johnathan Williams,0.16438724039532343
Zelmo Beaty,0.1639425103342779
Benoit Benjamin,0.16392119289255924
Von Wafer,0.16390269465749538
Wayne Ellington,0.1634784855366021
Wayne Yates,0.16293764749921644
Derrick Caracter,0.16256769527731008
Kermit Washington,0.16256283352616552
Ruben Patterson,0.16226749006478247
Jarred Vanderbilt,0.1619580635892201
Hank Finkel,0.1616927200492007
Sterling Brown,0.1616854108923512
Jaxson Hayes,0.16167895579089636
Wesley Johnson,0.16141508330857982
Gabe Vincent,0.16139822720918984
Antawn Jamison,0.16137538831213655
Taurean Prince,0.1612055128762713
Jamal Sampson,0.16120148244950788
Maurice Evans,0.16111553483288157
Danny Green,0.16104123973388942
Andrew Bogut,0.16101876132862403
Bob Burrow,0.1609584691891227
Chris Mihm,0.16089744643038964
Wenyen Gabriel,0.1604124215422771
Matt Ryan,0.16031832523415065
Kevin McKenna,0.1602012328983255
Josh Hart,0.1601543368591417
Kostas Antetokounmpo,0.15984684119695206
Joe Kleine,0.15982481323912817
Devean George,0.15975173785524782
Mitch Kupchak,0.15955112222656959
Tom Hawkins,0.15945184711167673
Alex Len,0.15937694380226988
Timofey Mozgov,0.15930320797958397
Max Christie,0.15927108410559898
Josh Powell,0.15909761690864288
Juan Toscano-Anderson,0.15883949562943417
Earl Clark,0.15866290649227915
DeAndre Jordan,0.15837081587066615
Jim Krebs,0.15822537383865728
Aaron McKie,0.158040045780365
Christian Koloko,0.15790558685031278
Bill Hewitt,0.15778617969064163
Mychal Thompson,0.15740585023687392
Jim Holstein,0.1573208971071358
Jim Barnes,0.15730579647537998
Tarik Black,0.15726296886208407
Rick Roberson,0.15723503430576624
Troy Daniels,0.1571710071694432
Frank Brickowski,0.15712831520013348
Travis Knight,0.15709613100041175
Dwight Jones,0.15703925865490426
Antonio Harvey,0.15699741621345797
Lew Hitch,0.15697610804700177
D.J. Mbenga,0.1568600040220732
Jerome Kersey,0.15676224008412065
Reggie Bullock,0.15644632770443442
Troy Brown Jr.,0.15627202684929115
Roy Hibbert,0.15619075373171734
Jared Dudley,0.1561872661810669
Jim Jackson,0.1561144651855523
Robert Sacre,0.15606452131233445
Howie Schultz,0.1559359410406854
Boo Ellis,0.15589470047135198
Luol Deng,0.15587564080513922
Horace Grant,0.1558226861008971
Travis Wear,0.15565067517439202
Kwame Brown,0.15562636714624117
Steve Hamilton,0.15524586662451337
Walter Dukes,0.15484987242816306
Derek Strong,0.15459309603980775
Avery Bradley,0.15454554158488754
Howie Jolliff,0.15424336386496235
Hub Reed,0.15423416629718795
Dorian Finney-Smith,0.15404620730223634
Leroy Ellis,0.15394975075290696
Damian Jones,0.15390688935165156
David Nwaba,0.1536940923323878
J.R. Reid,0.15341387965194764
Devin Ebanks,0.1532906297636586
Jumaine Jones,0.15320639729411573
Mark Madsen,0.1531397387690867
Darren Collison,0.15305789134850273
Shawne Williams,0.15271147575516236
Corky Calhoun,0.15250544241871283
Mark Landsberger,0.15245082518684316
Mike Smrek,0.1520106055850876
Wesley Matthews,0.15185289895645693
Ron Horn,0.151721313379512
Billy Ray Bates,0.1516029122716837
J.R. Smith,0.15154124486334292
Ray Felix,0.1508889713935053
Jay Huff,0.15083865694176848
Cornell Warner,0.15082959826206216
Trey Jemison,0.15066057583792247
Randolph Keys,0.15061292860967312
Corie Blount,0.1503026673880127
Jim Brewer,0.1500029882448049
Devin Green,0.14999779753184725
Cam Reddish,0.14981512050966012
Maxwell Lewis,0.14710543246039373
Jason Kapono,0.14647870074100947
Tyson Chandler,0.14585825943298264
Brian Grant,0.14526804107262836
Harry Giles,0.14335837621355527
Gene Wiley,0.1423988112330076
Armel Traoré,0.14181905411619378
Gary Alcorn,0.14162367045765029
Anthony Brown,0.141222846014039
Jack Haley,0.13801147752339415
Chaundee Brown Jr.,0.13758883344923656
Dennis Rodman,0.13739259159163347
Ed Beach,
Mike Bloom,
Don Carlson,
Jack Dwan,
Ray Ellefson,
Arnie Ferrin,
Donnie Forman,
Earl Gardner,
Normie Glick,
Bud Grant,
Billy Hassett,
Tony Jaros,
Johnny Jorgensen,
Whitey Kachan,
Kevin O'Shea,
Don Smith,
Gene Stump,
Jack Tingle,
Paul Walther,
